comentario,polaridade
O meu nunca aumentou. tenho cnpj de mais de 10 anos! Sou um mau cliente?,negativo
Já não posso dizer o mesmo.já estou com o cartão a mas de 3 anos e faço tudo oq vcs ditaram.já pedi o aumento do meu limite por varias vezes.mas sempre negaram.gosto mt do Nubank.mas pretendo desativar pois Tenho outra bandeira q me liberou um crédito bem melhor....,negativo
Só queria sair dos 400. do usado a quatro meses e ainda não aumentaram. minha irmã está usando ao mesmo tempo que eu e já aumentaram o dela.,negativo
Obrigado por não aumentarem meu limite sempre que pedi ????,positivo
Já tô pra desistir de pedir aumento. Já tenho a quase um ano e até agora nada. toda vez a mesma resposta computadorizada.,negativo
6 meses de uso.,neutro
Estou amando! Aqui em casa todos temos o Nubank. fui a última a adquirir e mesmo bancando os filhotes o meu limite é o menor. ????. Um dia chego lá...,positivo
Parece piada. mas vc @nubank  me deram um cartão 50 reais de limite. é brincadeira né?,negativo
@rafaelmacedohe,neutro
Não tenho o q reclamar. é um dos melhores  cartões de crédito q já tive. O limite ainda é pouco. porém só tenho apenas,positivo
Eu já cansei de pedir aumento e até agora nada!! Isso que eu pago em dia e nunca atrasei nenhuma fatura!!,negativo
@fellipe.orn ai ó. era extremamente o que tu tava falando ontem. O nubank ta te poupando de ter o nome sujo. E de nao se individar. Kkk,neutro
preciso comprar uns móveis para minha casa e não consigo por conta do baixo limite e olha que nunca atraso meu pagamento. pelo contrário. na maioria das vezes pago adiantado! bem desanimador...,negativo
Tmb aumentaram meu limite sem que eu solicitasse. então eu estou só o Ferdinando do Vai que Cola  eu não tenho li mi tes!!! Ahahahahaha ??????,neutro
Não tenho nenhuma restrição no CPF. porém não fui aprovado para crédito.,negativo
@nubank aumenta o meu limite para eu abrir mão dos outros cartões e ficar somente com o roxinho.,neutro
Nubank me ajuda aí eu viajo pra caramba a trabalho. um platinum ia ser uma mão na roda pra mim. quais as chances? ??,neutro
Por que demora tanto pra poder solicitar um cartão de crédito?,neutro
Faz quase 1ano que o meu não aumenta,negativo
Aumenta meu limite. quero comprar meu notebook para ESTUDAR. @nubank! ??,neutro
Vcs nem um cartão de 400 liberou pra min ??,negativo
Sempre pago minha fatura antes msm de fechar e nada de aumentar meu limite,negativo
Boa tarde como faço o cartão,neutro
Aí @gustavosouzaffc . segredo pra aumentar seu limite,neutro
E eu aqui esperando meu limite chegar um valor legal pra cancelar meus outros cartões ??,neutro
O meu já tem mais de 1 ano q aumentaram o limite. ainda é muito baixo.??,negativo
Serviço e atendimento nota 10!,positivo
Pago sempre em dia. as vezes até antes do vencimento. Mas meu limite não aumenta . Hoje tenho R$ 3.450.00 mas queria mais ?? já tenho o cartão há quase três anos .,negativo
Kkk até parece que é assim minha esposa tem o mesmo limite tem mais de um ano.já concentrou gastos deixou dinheiro na conta. nunca atrasamos nenhuma fatura e continua no mesmo limite. Aí ela pediu um cartão no Credicard de cara o dobro do limite. Está inteligência de vcs é uma piada.,negativo
Recentemente eu precisei de mais do que meu limite atual. infelizmente me foi negado. Consegui fazer a compra em outro cartão de um terceiro. mas gostaria de poder usar somente o meu cartão do nubank. Fora isso. tem funcionado maravilhosamente bem para mim.,negativo
O meu roxinho ainda não chegou aaaaa. estou ansioso,neutro
O melhor de todos! Um dia terei o privilégio de ter esse cartão na minha carteira ????????,positivo
????,positivo
@nubank libera meu convite.. cansada de me humilhar pra você,negativo
Melhor cartão. eu recomendo????????????????,positivo
Preciso comprar um celular novo. @nubank aumenta o meu limite ! ?? Se não vou ter que comprar a vista,neutro
Mas quando vão  aumentar  meu limite mesmo ??. já concentrei quase todas minhas dispensas no cartão e nada ??,negativo
Aaah como eu queria aumento. 4 meses e não sai dos 500.00 :.. Sempre pagando adiantado. me ajuda aí @nubank,neutro
Fui aprovado a ter o cartão recentemente. meu limite é baixo mas digo na esperança que logo irá aumentar ?? E mais ansioso ainda pela aprovação da conta PJ pra concentrar todas minhas movimentação na NU ????,neutro
@binabrilhantemag agora entendi como eles procedem kkkkk lembrei de Hugo c o seu cartão kkkkk,neutro
Se tá ruim pra vcs imagina  pra minha amiga que fez o cartão e ganhou 50 reais de limite.,negativo
O meu nunca aumentou ??,negativo
Meu limite inicial foi 1.650.00 foi aumentando até chegar em 4.900.00. sem eu pedir. Pago uma parte antes de vencer e o restante pago em dia. Este cartão é perfeito!  Não tem outro melhor!,positivo
Aumenta o meu tbm,neutro
O meu tem 1 mês que estou com o cartão De crédito. mais me liberaram muito pouco. 50 reais só.  Fiquei triste. espero qur aumente bem mais.  mesmo assim amoo meu roxinho??????,negativo
Eu quero um aumentooooo. nunca consigo. já vai fazer 1 ano,negativo
Esperando aprovaçao ????????,neutro
Vocês irão disponibilizar algum dia venda para tesouro direto?,neutro
Um dia eu chego nos 5 mil ????,neutro
Meu Deus! Isso não é um cartão de crédito! Que sonho. Parabéns @nubank ????,positivo
Se aumentasse meu limite eu. não precisaria ter outros cartões. faz essa aí. já estou a meses pedindo aumento é nada.??,negativo
@otavio7247d,neutro
Nunca fui tão grato por ter que esperar mais de um ano pra meu limite aumentar kkkkkk chorei mas hoje agradeço,positivo
Muito triste pq não consigo tirar meu cartão ??,negativo
Até o momento não foi aprovado minha solicitação,neutro
a @nubank sempre se preocupando e fazendo o melhor para os seus clientes ????????????????????????????????,positivo
Tenho fé que ainda saio dos 400.00 reais de limite! ??,neutro
Depois de  um ano de NUBANK e passar a utilizar a NUconta meu limite subiu além de minhas expectativas. parabéns NUBANK pelo profissionalismo.,positivo
??????????,positivo
Melhor cartão de crédito do Brasil !,positivo
@lclucampos eu amo uma instituição financeira,positivo
@nubank Não quer aumentar meu limite... ??????,neutro
Mto amor pelo meu roxinho não  troco por Nada!! ????,positivo
@vinicius_pacha,neutro
Tg,neutro
@nubank aumenta o meu limite sou muito organizada. não me endividou.,neutro
Menos o meu. uso pq gosto do roxinho.. mas ainda tenho q usar outro por causa do limite. me valorizem por favor kkk,negativo
Não tenho oq reclamar. Sempre que precisei aumentaram meu limite. Agora estou com um limite que supre minhas necessidades. Amo meu roxinho e não troco ???? Obrigada @nubank ????,positivo
Nada a reclamar do aumento. comecei com R$ 700.00 e em 7 meses já to com R$ 2.150.00. O melhor cartão @nubank,positivo
Tenho um cartao de debito mais eu preciso de um de crédito,neutro
Pois eu pago super em dias. nunca atrasei e vocês nunca aumentam ???????,negativo
Eu preciso muito do aumento. Já melhorou. porém não é suficiente. preciso pedir cartão dos outros emprestado para fazer pedido de maquiagem. pois sou revendedora e o nubank não aumenta meu limite ??,negativo
Melhor cartão!  Roxinho é demais,positivo
Não saio dos 800.00 de limite. Como que vou comprar meu celular desse jeito. dona @nubank ? Kkkkk,negativo
Comecei com 500 em 2015 e hoje tô com 12.500 hahahaha cêis são é doido. ainda bem que aprendi a ser controlada EUIOEUIEIIEOEUEOE,negativo
eu queria um limite bom apenas para comprar meu computador...,neutro
Estou há 7 meses sem aumento de limite :(,negativo
Em três meses fomos de R$600 pra R$950. Tudo certo ???,positivo
O melhor de todos ????????,positivo
Estou sem dividas. aumenta o meu ahahahah ? ? ??? ??,neutro
Desisti faz tempo. sempre tentei fazer o pedido do cartão e nunca autirizam pra mim. tenho nome limpo. trabalho de carteira assinada e n entendo pq n condigo. conheço pessoas q n tem emprego fixo. e eles autorizaram #trsite ??,negativo
Realmente e sempre uma adrenalina kk,neutro
Preciso de um aumento ele é bem menor que minha renda e gostaria muito de viajar usando o cartão mais infelizmente não consigo nem comprar uma passagem ainda ??,neutro
Não tenho o que reclamar do meu limite. Sempre aumentam. mesmo sem eu solicitar.,positivo
Já pedi aumento e não consigo. pago tudo antes da data,negativo
Alguém tem convite do Nubank para enviar?,neutro
@juanfernandes99,neutro
?? desculpa eu não atraso pq eu quero ????????,neutro
Amo esse roxinho. O melhor de todos. De pensar q pagava anuidade cara no Itaucard??????????????,positivo
Tenho limite ótimo. mas procuro não gastar tudo. Como sou profissional liberal. nunca se sabe no próximo mês. Amo o Nubank. roxinho. Indiquei para vários amigos de confiança. ????????????,positivo
Por isso eu amo o @nubank! Sempre pensando no cliente e na saúde financeira dele.,positivo
@dantasjoaov,neutro
de 500 reais o meu foi pra 1.700. não reclamo mais ??,positivo
nubank. eu só queria um cartão de crédito ??,neutro
@brunokronem nubank pensando em vc,neutro
Pedi 3x e nada. ai DO NADA Aumentaram meu limite. ??,neutro
Não é tão fácil hein.  Ehheeheh o meu demorou. Agora tá tranquilo,neutro
Eu pago minha fatura no dia do vencimento pra deixar meu dim dim rendendo na NuConta por mais tempo ??,neutro
Ganhei aumento mês passado sem pedir. Esta justo e do meu agrado.,positivo
De um amigo deram 50 reais de limite kkkk Cinquenta reais ..... Vocês estão loucos né ???,negativo
Nesse ponto não posso reclamar do @nubank . no começo não entendia o porque do limite baixo (500 reais na época) apesar de renda boa. Hj tenho limite bom e vejo que na época os 500 foram para o bem da minha saúde financeira. Valeu @nubank ??,positivo
Adoro esse roxinho. Vou partir para o reward em breve. pois o meu limite já permite projetar meus gastos no cartão e acima de R$1600. 00 de gastos já começo a obter vantagens nesse programa. Show de bola nubank. Sou defensor da marca de vocês ??,positivo
??sempre pensando nos clientes... sou grato.. ???? Sempre @nubank juntos????,positivo
Kkkkkkkkkkk eu também só 50 meu Deus kkkkkk????,neutro
Nubank aumenta meu limite....,neutro
Queria tanto um aumento @nubank .espero um dia ter esse aumento.,neutro
Quando chegou meu cartão achei o limite baixo mas em 3 meses aproximadamente meu limite triplicou agora estou satisfeita. ??????,positivo
Acho que a solução é não pedir pra aumentar o limite. eles só aumentam o limite de quem não pede kkkkk,negativo
Nubank aumenta meu limite por favor ??,neutro
@kemuelbarbosa e eu pensando que meu limite era baixo KKKK tem quem tenha só 50 KKKK,neutro
@gabis_nunes ai. como funciona a análise do limite,neutro
Meu limete veiio abaixo de 100 e já fiz compras mas ainda nada de alimento ja fiz solicitação mas nada,neutro
@iankatalita . fica a call ai kkkk,neutro
Libera meu cartão. o limite a gente ver depois !,neutro
Comecei com 600.00 de limite. Demorou um ano mas quando aumentou foi para 4500.00 ?? não troco por nada esse cartão ???????,positivo
Aguardando o meu aumentar conforme o pedido feito. Já no limite para não entrar dívidas altas.,neutro
Eu tenho controle. sei usar bem o cartão. mas gosto de pedir aumento de limite ??,neutro
Preciso de 2.500 de limite pro meu trabalho e pra minha empresa oq eu faço ??,neutro
O meu limite de 50 reais Kkkkkk humilhação nu. tem gente que eu conheço que começou com o limite bom e eu me lascando com 50 reais,negativo
Amo.amo.amo.meu limite tá quase perto dos $5.000 né@nubank ??????????,positivo
Estão devendo nessa em Nubank.... Pago em dia. consumo entre 80 a 100% do limite. uso a NUConta.... Mas cadê?,negativo
????????,positivo
@isamontibeler,neutro
Se eu insisto em pedir um limite maior é pq eu to podendo pagaaaaaar. Dps d cansar d insistir pedi foi outro cartão. o do inter. q me da mais benefícios até e um limite beeem melhor,negativo
Amo esse roxinho ????,positivo
@nubank desde que recebi meu cartão (há 3 ou 4 anos) nunca fui agraciado com um aumento de limite ??,positivo
@brunogabrielrr,neutro
Péssima justificativa @nubank,negativo
Graças a Deus eu to satisfeito com o meu limite haha,positivo
Gosto mais ainda,positivo
Estou satisfeito com o produto. mas lendo aqui. gostaria de salientar que o Score do Serasa é bem discrepante em relação ao Boa Vista. na verdade chega a dar uma diferença de até 50%. sendo avaliado os mesmos conceitos...quem tem cadastro positivo ativo em ambos entende do que estou dizendo.,positivo
Disciplina é tudo ??????,positivo
Oi da minha esposa ta  de 50 reais até hj?? Oia mos,neutro
E qd a gente faz td isso mas o nubank n aprova a gente ?? ainda bem que o banco Original me recrutou ????,negativo
Nubank eu te amo ??,positivo
Quem tá com nome sujo pode ter um cartão do nubank de crédito,neutro
@raysantos_as,neutro
Após o meu pago em dia e tá em 800,neutro
Minha mãe recebeu o cartão e já desbloqueou pelo app só que não mostra o limite . fica tudo branco e sem nada na parte que mostra o limite,neutro
Meu limite é até alto. mas qdo viajo não consigo usar somente o Nubank por causa do limite... ano passado mesmo tive que pedir outros cartões com anuidade zero pois a passagem e o hotel já utilizaram grande parte do meu limite... tive que usar outros cartões para pagar os gastos da viagem e pedir outro para poder ter um  em caso de emergências.. esse é o tipo de coisa que as pessoas se planejam. Ter um tipo de Aumento temporário seria legal... e a partir daí analisar como o cliente se comporta com o limite mais alto. Eu mesma agora vou casar. já surto só de imaginar que não vou poder usar só o Nubank. tenho que apelar para os concorrentes para conseguir pagar tudo....,negativo
@marciasantos_20,neutro
@pa_paulo,neutro
Meu limite teve um aumento em mais de 50% ???????????????? isso nem é banco é um ??,positivo
eu não consigo o cartão de crédito??,neutro
Pago em dia bonitinho. Aumenta meu limite ai. Nu. Quero comprar um carro no cartão. ??????,neutro
Por isso não querem aumentar o meu limite ? Estão com medo que eu não pague? ?? nu,neutro
@calebinhu esse momento é seu!!!!! KKKKKKKKKKKKKK,neutro
Amo meu roxinho ??,positivo
Tenho o meu há 1 ano e não saio de 400 reais . pago tudo em dia. aí quando tento comprar  algo mais caro não consigo,negativo
Queria que aumentasse o meu pra poder cancelar o cartão de outros bancos e ficar só no Nubank. mas to na luta ??,neutro
@lelecoaa a gente falou disso literalmente uma hora atras e apareceu no meu feed,neutro
@lelecoaa a gente falou disso literalmente uma hora atras e apareceu no meu feed,neutro
Meu limite aumentou esse mês e fiquei muito feliz kkkk é só usar direitinho e tudo certo ??,positivo
Aumenta Porã nenumha tem ficar se num lgando pedindo aumento essa porra pago minha fatura 15 dias antes do vencimento mesmo assim não aumenta,negativo
Não consigo aumentar o limite do meu :. fiquei noivo e gostaria de passar todos os gastos no Nubank. mas não consigo devido ao limite baixo :(,neutro
E eu aqui lendo os comentários pra ver se meu limite tá na média kkk,neutro
Comecei com 200. hoje quase 3k. AMP vocês!,positivo
Ba le la,negativo
@isabellen__,neutro
?????? Roxinho Amo muito Você??????????,positivo
Já cansei disso pago a fatura dias antes e nada de aumentar compro e pago tudo certinho e vcs não aumentar nada ????????,negativo
50 reais de limite foi trágico ??,negativo
Só queria que libertasse a função credito pra mim ??,neutro
Deveriam avaliar quando o cliente faz pagamento antecipado sempre. através da nuconta. para terem uma noção da renda e da capacidade de honrar os compromissos. Mas não. Menor limite entre todos os cartões que tenho. To pensando em até parar de usar.,negativo
Meu limite já está em R$1700 em poucos meses e sempre aumenta sozinho. obrigada Nubank ??,positivo
@andre_mcastro,neutro
KKKKK aff. semana passada tentei aumentar o meu umas 3 vezes,negativo
Todo ano faço festa de aniversário do não aumento do meu mísero limite de 400 reais,negativo
?????? meu poupe.,negativo
Se a análise parte de consultas ao Serasa. haverá muita insatisfação de futuros  Nubank's. Vamos repensar @nubank,negativo
Para começar se eu não pôde-se fazer conta eu não faria o cartão de vocês! Sempre pago minha fatura adiantado pois o limite que vocês me disponibilizou para mim não serve para nada! Na verdade estou quase comprando à vista! Na boa! Só nome pois limite que é bom. nada! É lamentável mas Digio está dando um banho em vocês!,negativo
Queria meu cartão de crédito pra controlar melhor as finanças. não liberou ??,negativo
Tenho um limite alto. MUITO MAIS ALTO que meu salário. sempre gasto exatamente o valor do meu salário. Quando chega o pagamento pago a fatura e vivo o mês todo passando no crédito até chegar o próximo pagamento ??,neutro
eu tenho renda suficiente pra ter mais limite e nada,negativo
Eu não uso o meu Porq meu limite é muito pouco.já tentei aumento e nada.então só uso o Hipercard que é um limite muito bom.,negativo
Tive aumento de limite duas vezes nesses poucos meses q estou com o cartão. e nas duas eu estava precisando do aumento e não  tive que pedir. ??,positivo
Dito isso. gostaria de saber quando irão aumentar meu limite!??,neutro
Hahahahaa??,neutro
Podiam é atualizar duas coisas: senha boa aplicativos (ou biometria) e atualizar a aceitação em GPay. ficaria muito melhor,negativo
Concordo com o @nubank ??,positivo
Que bom. como sempre a Nubank pensando no bem está dos clientes ??????,positivo
@nubank tem algum tempo minino pra que possamos pedir o aumento??? o meu está em 600 e não fui aprovado para aumento ainda. queria poder viajar e não posso pq o limite não dá pra compra passagem !,neutro
@nubank  sempre paguei a fatura antes do vencimento. faço antecipação das parcelas com frequência. exploro bem o meu limite e mesmp assim nunca conseguir um aumento??,negativo
Nubank aumenta meu limite ??????...,neutro
Também tenho o roxinho. é muito bom??,positivo
Meu nubank começou com $400 foi pra $600 ta em $800 menos de 1 ano ainda nem usei 1x estou esperando chegar em um limite que der limite bom pra uma geladeira inox preço mais acessível... mais eu tenho Credicard 0 anuidade melhor cartão da vida. 1ano 5 meses. começou com 1.300. hoje tenho mais de 5.000. outros cancelei. o bradescard da c e a passei 6 anos com mesmo limite. e só ficava 2.400. depois aumentaram pra 3.800 cancelei. fora que eu pagava anuidade ...,negativo
Não faz nem um ano e meio que tenho o meu cartão e meu limite aumentou umas quatro ou cinco vezes nesse período (Só pedi aumento da última vez). Pago em dia. antecipo parcelas quando posso e só uso ele. A gente tem que ajudar um pouquinho. Mas com um limite baixíssimo também não dá.,negativo
Parabéns a Nubank por pensar e agir assim..ao contrário das inúmeras outras operadoras de  cartão de crédito. Satisfeita de fazer parte ????????,positivo
@darlimrodrigues,neutro
Mas brasileiro não tem limite Nubank hahahahahahaha??,neutro
Ja faz mas de um ano que eu to usando @nubank e só consegui aumento de limite apenas uma vez. Mas to satisfeita queria q aumentasse o limite z??,positivo
O meu já aumentou..Qro mais limite??,neutro
@victoriacarabetta,neutro
Mais eu tenho que amar muito esse roxinho. Fiquei 2 anos pedindo e quando consegui o limite é  50 reais e tô nessas dos 50 tem mais de 1 ano ????????,negativo
Acho que vcs estão preocupados que o cliente não deixe de pagar a fatura do nubank... que não está errado. Tenho que usar outras cartões. pois as vezes é preciso comprar coisa de alto valor no qual pode ser parcelado.,positivo
Que lindos. até com isso vocês se preocupam!! Empresa com consciência social é outro nível ???? Que amor. um dia hei de conhecer a NU pessoalmente ????????,positivo
Louco pra alimentar meu limite pra mim para de ter mais 5 cartões diferentes kkkk,neutro
Acabei de tentar pedir o cartão e fazer meu cadastro falou que eu não posso fazer e que depois de 6 meses posso tentar novamente! Queria muito ser Nubank.,neutro
Meu cartão.... Não abro mão ??,positivo
Eu te amo por isso ??,positivo
@renatopeereiraa,neutro
Meus amores da Nu. tenho uma pergunta: um cliente que só tem função débito. mas limpou o nome recentemente. pode solicitar a função crédito já ou o melhor é esperar alguns meses?,neutro
Faltam só 2 coisas pra eu abandonar completamente o BB e concentrar tudo no roxinho: Suporte ao Google Pay e Cartões Virtuais ilimitados. ou pelo menos uns 50 cartões neh. As outras várias coisas que eu queria o NuBank já implementou desde quando sou cliente.,neutro
Tenho o cartão há 3 anos e estou muito satisfeito com meu limite. Obrigado@nubank.,positivo
Meu limite é ótimo.sempre pago antecipado.acho q ajuda mesmo.,positivo
Tenho fé que um dia meu limite vai passar dos 3.500.00??,neutro
@naah_daiane_ viu. por isso seu limite é só 50 reais ????,neutro
Eu só queria que liberassem limite pra mim mesmo. Porque TODO MUNDO tem!,negativo
Mas como minha mãe disse que eu não sou todo mundo,neutro
Melhor cartão atualmente apesar do meu limite inicial ser R$: 1.300 . vou fazer essas 4 alternativa que o nubank citou para melhorar meu limite.,positivo
Meu sonho é ser aprovado no crédito... Mas vai ser difícil. Até pq eu quero utilizar o crédito. não a nuconta,neutro
O que eu queria era mudar o vencimento da minha fatura pro dia 30 e é impossível pelo app ????,negativo
Eu tenho o nubank a mais de 1 ano.foi meu primeiro cartão.nunca atrasei e estou com limite inicial de 500 reais até hoje.sempre peço aumento e nunca dão.aí fiz o meu pag.e com 4 meses de uso meu limite subiu 700 reais.hoje em dia ao total já subiu bem mais.e meu limite no nubank????? Mesma coisa. LAMENTÁVEL!,negativo
Ainda assim. meu limite liberado está acima do meu salário ??,neutro
Pelo menos vcs tem cartão de crédito ???? E eu que não tenho nome sujo. tenho emprego fixo e n consigo a liberação do credito ????,neutro
N cosengei o meu almento,neutro
Queria pagar as aulas de voo... Mas não vai dar ?? aliás... tive que desistir do Reward pq o limite era pouco... ??,negativo
Tem alguma maneira de depositar mais rápido que boleto e entrar na conta no mesmo dia?,neutro
@renata_mesquita preciso pagar meu alguel em DOLARES. socorro,neutro
@thallyssa.alves @thedukhe,neutro
Gente. então porque me deram um limite tão alto? Kkkkkk eu sou consumista,neutro
@Nubank Já pode me dar um cartão ta!,neutro
Pago em dia. já atencipei parcela. compro sempre. até macumba já fiz pra aumentar o limite e nada. Mas outro dia vocês ofereceram empréstimo. Tá de brincadeira né?,negativo
Último aumento foi em janeiro.19. tento aumento mas não consigo. Infelizmente vou optar por outro cartão.,negativo
Eu ficaria feliz com um limete de R$ 50.00 mas nem isso eu consigo,neutro
Meu limite é top ??????,positivo
@wilsongabriell12,neutro
Achei um absurdo meu pai aposentado vcs deram 50$ de limite. Já outro cartão deu 900.00$$ .,negativo
@igorsousa62,neutro
Meu limite inicial era de R$ 750.00 e hoje já está em R$ 8.600.00. basta fazer uso do cartão.,positivo
Enquanto espero meu limite aumentar vcs bem que podiam mandar uns mimos!,neutro
Sempre pagando em dias e utilizando meu limite total (800) aguardando a Nubank liberar mais um pouco. preciso de um notebook para minhas aulas ????,negativo
Antes era mais fácil aumentar.agora está muito limitado.??,negativo
Não aumenta nada. meu Amex nem limite tenho. faz fiz compras de 30.000.00. o Banco Inter me deu 7200.00 de limite de imediato e o Nubank sempre tento aumentar meu limite e não deixam. Esse Nubank não tem nada d+.,negativo
Filha.  @ewellim_catharine leia  direitinho .e entenda tudo sobre o seu cartão Nubank ??,neutro
Eu amoo o meu roxinho so estou aguardando vcs aumentarem meu limite????,positivo
@_carlaroch,neutro
Quero aumentar meu limite tambem mais ta dificil,neutro
Rapaaaaiz . se puxar pelo score do Serasa meu limite vai pra -300.00 ??????,neutro
É muito difícil conseguir aumento do limite. Itaú é super fácil conseguir aumento. Recomendo o Credicard.,negativo
@netolandimoficial  hehehehe desculpa sociedade ! O Nubank sabe q eu tenho responsabilidade de ter um limite alto ??,neutro
Sou cliente do  @nubank  desde o início foi incrível super recomendava era top. Hoje em dia está inovando tanto que está deixando a desejar. ??,negativo
Eu queria pelo menos um salário  mínimo  no meu cartão,neutro
Tenho o limite alto. mas deixei ele baixo de propósito. pra evitar contrair dívidas hahaha ??,neutro
Meu cartão vai fazer 1 ano em dezembro ainda e já aumentaram 3x o limite. Quando peço aumento nunca aprova . Mas quando eu menos espero eles vem e aumentam o limite ??,positivo
O @santanderbrasil me deu limite de quase .3000.00 isso é confiAr no cliente . por esse motivo vou fechar em breve a minha conta NU. infelizmente,negativo
Ahhh é por isso que o meu limite sempre aumenta... eu faço tudo isso ??,positivo
?? NADA A RECLAMAR! 1 ano de roxinho. comecei com R$ 200.00 e ja tô com R$ 2.500.00 de limite. Não troco nem mudo de cartão por nada.. valeeeu @nubank ?? ?? ??,positivo
Melhor empresa ??,positivo
Duvido aumentarem meu limite para o dobro que tenho! @nubank,neutro
Quero????????,neutro
Abri a conta essa semana e me deram limite de 2700. Achei baixo mas pelo que vejo nos comentários acho q veio alto né.,neutro
Galera reclama demais. o banco TB pensa na longevidade deles sabiam? Imagina sai aumentando limites e limites a cada 3 a 6 meses pra depois ficar com cheio de devedores e a própria empresa precisar corta custo e tal pra se manter. tenham calma eu TB durante esse ano q tenho so me foi aumentado uma vez o limite. eu tenho mas 2 cartões concorrente mas não tenho essa reclamação constante de limites. fazer oq né eles TB precisão de segurança! Pra mim as tags q coloca no cartão a facilidade de falar com algum responsável e a tranquilidade da nuconta já me satisfazer demais... Quero é mais kkkk,neutro
Depois de 4 meses aumentou ??,neutro
@carla_cfsm,neutro
Realmente é difícil aumentarem o limite,negativo
To querendo cancelar meu cartão do Santander e ficar só com o Nubank mas com o limite que tenho fica difícil,neutro
Pessoas q fizeram o cartao depois de mim com um score quase igual ficaram com limite muuuuiiitoooo maior... nao entendo!,negativo
Comecei com R$ 300.00 de limite. Hoje é quase R$ 3.000... e não demorou muito.,neutro
@alanstralla,neutro
@elissoncamposs kkkkkkkkkk,neutro
@luaant,neutro
Aumenta o meu. tô quase trocando de cartão!,neutro
Nome sujo impede o aumento do limite? D:,neutro
Comprei o limite todo do cartão pago fatura bem antes da data e nada de aumento??,negativo
DÚVIDA: solicitar aumento de limite com frequência prejudica o score no Serasa por solicitação de crédito negado?,neutro
Graças meus limite é de 600$.mas quero aumentar,neutro
Deixei de usar NuBank. meu limite está estacionado à um ano. Sempre usava o limite inteiro e pagava as fatura em dias.,negativo
???????? Muito satisfeito com o limite. inclusive semana passada aumentaram o meu e da minha esposa. Estão de parabéns. nubank é o melhor disparado.,positivo
???????? Muito satisfeito com o limite. inclusive semana passada aumentaram o meu e da minha esposa. Estão de parabéns. nubank é o melhor disparado.,positivo
Aumentaaaáaaaaaaaaaa,neutro
Um dia eu saio dos 400 Reais kkkk ?? ??,neutro
Tá mas aumenta aí pá mim,neutro
Eu queria aumentar o limite pra pagar a facul acumulando pontos...como junta pontos com 400$ de limite?,neutro
Já tenho a conta falta só liberar o cartão. mais um dia consigo,neutro
Consegui meus 9k de limite a um tempo. Primeira ação foi cancelar o cartão do banco e focar no nubank... hj compro tudo parcelado e pago adiantado pra ganhar dinheiro de volta... além dos pontos.... pago o rewards por acreditar no Nubank. É uma forma de devolver os benefícios que eles me geram. E vale a pena pois uso os pontos gerados pra abater compras na fatura. Acaba no fim das contas saindo de graça os 19.90. #nu sou fã do meu roxinho hahah já me perguntaram mtas vezes qto recebo por fazer propaganda hahaha ????????,positivo
@nubank amo meu roxinho????????????,positivo
Pago certinho. as vezes antecipo. uso a NuConta. tenho Nubank desde 2016. e vocês nunca aceitam o pedido de aumento de limite. nem que seja 50 reais a mais. Tenho score alto. não tenho comprometimento de renda (financiamentos ou empréstimos). e meu limite não sai dos 2800... Pedi outro cartão sem anuidade que é inclusive compatível com o ApplePay. e se o limite for bom eu vou quitar meu Nubank e cancelar a conta.,negativo
Nubank !! Bla bla bla !! Um dia eu saio dos R$900.00 . este limite não serve para nada,negativo
??meu sonho todo mês é esse aumento que nunca chega,negativo
Mais crédito pra mim não liberaram ainda bem que eu tenho o Credicard zero muito melhor,negativo
@nubank amo meu ??,positivo
Estou amando meu cartão @nubank  além de lindo e claro sem anuidade isso já é uma grande vantagem,positivo
Eu queria era mimos rs,neutro
Bem que o aplicativo poderia ser acessado com outras contas.te amo @nubank,positivo
@duubandeira1,neutro
Há mais de um ano estou tentando aumentar o limite que não está suprindo minha necessidade. Já tentei formas de adiantamento. já ativei Nuconta. nome limpo. etc. e nada. Falei com atendente e ele disse que no sistema estava que recebi aumento recentemente. Errado. E aí? Já tentei todas as alternativas e nada. O negócio e retornar aos bancos pagando juros e taxas maiores. mas pelo menos estarei utilizando o serviço conforme minha necessidade.,negativo
Essas dicas não estão com nada. Sempre pago a fatura 7 ou 6 dias antes do vencimento. uso o limite todo e nunca tive aumento. Minha namorada pediu o cartão bem depois que o meu é já teve aumento. Iae @nubank ?,negativo
Nubank é show. é o melhor cartão que existe. Comecei com 800.00. depois fui pra 900 e agora 1050.00 de limite. Sem falar que a Nuconta é melhor ainda. ?? O dinheiro rende.,positivo
Eu nem cartão consegui. Sou obrigada a usar o do meu namorado as vezes,neutro
Eu só tenho a agradecer o meu roxinho,positivo
Qual é a finalidade do limite R$ 50.00 reais ?? Kkk @nubank,neutro
@pa1962 aí pra você que reclama do limite,neutro
Ainda não faz sentido em ter 400 de limite. e a empresa nem respondeu direito meu reclame aqui. decepção,negativo
Eu também. um dia saiu desse limite de R$50.00,neutro
Puxa há uns 12 anos atrás tive meu nome negativado por uma dívida no BB. Mas já faz mais d 11 anos q paguei. de lá pra cá nunca mais fui pra esses órgãos. Mas msm assim nunca sou aprovado pra conseguir esse cartão Nubank. É olha q tenho um bom rendimento mensal,negativo
Pra quer ter Limite de 5 mil . e não poder pagar uma parcela de 200 reais?,neutro
Fazem no Banco Inter. são melhores que esse Nubank.,negativo
